Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
BMW,5 Series F10/F11 From March 2010,520d Touring - 225/55 R17 tyres front & rear,Automatic,A8,1995,Diesel,5.8,4.6,5.0,48.7,61.4,56.5,132,6,73.0,175,,41,71,0.1,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Touring - 225/55 R17 tyres front & rear,Manual,M6,1995,Diesel,6.0,4.5,5.0,47.1,62.8,56.5,133,6,75.0,103,,26,73,0.1,,"£1,419.32",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Touring - 245/40 R19 tyres front & rear,Automatic,A8,1995,Diesel,6.0,4.8,5.2,47.1,58.9,54.3,138,6,73.0,175,,41,71,0.1,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Touring - 245/40 R19 tyres front & rear,Manual,M6,1995,Diesel,6.2,4.7,5.3,45.6,60.1,53.3,139,6,75.0,103,,26,73,0.1,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Touring - 245/45 R18 tyres front & rear,Automatic,A8,1995,Diesel,5.9,4.7,5.2,47.9,60.1,54.3,136,6,73.0,175,,41,71,0.1,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,520d Touring - 245/45 R18 tyres front & rear,Manual,M6,1995,Diesel,6.1,4.7,5.2,46.3,60.1,54.3,137,6,75.0,103,,26,73,0.1,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,530d Saloon - 225/55 R17 tyres front & rear,Automatic,A8,2993,Diesel,6.1,4.8,5.3,46.3,58.9,53.3,139,6,70.0,170,,40,77,0.4,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
BMW,5 Series F10/F11 From March 2010,530d Saloon - 245/40 R19 tyres front & 275/35 R19 tyres rear,Automatic,A8,2993,Diesel,6.4,5.0,5.5,44.1,56.5,51.4,145,6,70.0,170,,40,77,0.4,,"£1,560.14",F,£135.00,£74.25,£135.00,£74.25,,,
BMW,5 Series F10/F11 From March 2010,530d Saloon - 245/45 R18 tyres front & 275/40 R18 tyres rear,Automatic,A8,2993,Diesel,6.4,5.0,5.5,44.1,56.5,51.4,145,6,70.0,170,,40,77,0.4,,"£1,560.14",F,£135.00,£74.25,£135.00,£74.25,,,
BMW,5 Series F10/F11 From March 2010,530d Saloon - 245/45 R18 tyres front & rear,Automatic,A8,2993,Diesel,6.3,4.9,5.4,44.8,57.6,52.3,143,6,70.0,170,,40,77,0.4,,"£1,533.30",F,£135.00,£74.25,£135.00,£74.25,,,
