Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
ASTON MARTIN LAGONDA,DB9 Model Year 2010,Coupé & Convertible March 2010 onwards,Manual,M6,5935,Petrol,24.6,11.7,16.4,11.5,24.1,17.2,389,5,75.0,231,32,6,,,,"£4,408.56",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,Automatic,A6,5935,Petrol,24.2,10.5,15.5,11.7,26.9,18.2,367,5,74.0,577,61,11,,,,"£4,166.33",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,Manual,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,5,75.0,325,32,12,,,,"£4,408.56",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,Rapide Model Year 2010,4 Door Sports March 2010 onwards,Automatic,A6,5935,Petrol,22.6,10.4,14.9,12.5,27.2,19.0,355,5,74.0,543,53,15,,,,"£3,990.91",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V12 Vantage,Hatchback March 2010 onwards,Manual,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,5,75.0,326,31,13,,,,"£4,408.56",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V8 Vantage MY2011,Coupé & Convertible,Manual,M6,4735,Petrol,19.6,10.4,13.8,14.4,27.2,20.5,321,5,75.0,588,50,37,,,,"£3,698.89",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V8 Vantage MY2011,Coupé & Convertible (ASM6),Automatic,ASM  ,4735,Petrol,18.3,9.3,12.6,15.4,30.4,22.4,295,5,74.0,403,55,23,,,,"£3,385.15",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V8 Vantage MY2011,Coupé & Convertible (Sports Muffler),Manual,M6,4735,Petrol,19.6,10.4,13.8,14.4,27.2,20.5,321,5,75.0,588,50,37,,,,"£3,698.89",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V8 Vantage MY2011,Coupé & Convertible (Sports Muffler/ASM6)  ,Automatic,ASM  ,4735,Petrol,18.3,9.3,12.6,15.4,30.4,22.4,295,5,72.0,403,55,23,,,,"£3,385.15",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V8 Vantage MY2012 December 2011 onwards,Coupé & Convertible (ASM7),Automatic,ASM  ,4735,Petrol,19.2,9.3,12.9,14.7,30.4,21.9,299,5,73.0,529,44,14,,,,"£3,462.43",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,V8 Vantage S 2011MY,Coupé & Convertible (ASM7),Automatic,ASM  ,4735,Petrol,19.2,9.3,12.9,14.7,30.4,21.9,299,5,74.0,529,44,14,,,,"£3,462.43",M,£475.00,£261.25,"£1,030.00",NA,,,
ASTON MARTIN LAGONDA,Virage MY2012,Coupé & Convertible,Automatic,A6,5935,Petrol,22.3,10.8,15.0,12.7,26.2,18.8,349,5,74.0,574,61,11,,,,"£4,033.37",M,£475.00,£261.25,"£1,030.00",NA,,,
AUDI,A1,1.2 TFSI 86PS Stop-Start,Manual,M5,1197,Petrol,6.2,4.4,5.1,45.6,64.2,55.4,118,5,72.0,664,42,39,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
AUDI,A1,1.4 TFSI 122PS Stop-Start,Manual,M6,1390,Petrol,6.8,4.4,5.3,41.5,64.2,53.3,124,5,72.0,328,38,31,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A1,1.4 TFSI S line 122PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,122,5,71.0,411,42,34,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A1,1.4 TFSI S line 185PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,7.5,5.1,5.9,37.7,55.4,47.9,139,5,72.0,229,43,35,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A1,1.4 TFSI Sport 122PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,6.5,4.4,5.2,43.5,64.2,54.3,119,5,71.0,411,42,34,,,,"£1,396.45",C,£30.00,NA,£0.00,NA,,,
AUDI,A1,1.6 TDI 105PS Stop-Start ,Manual,M5,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,5,71.0,310,,118,156,0.0,,"£1,079.29",A,£0.00,NA,£0.00,NA,,,
AUDI,A1,2.0 TDI 143PS Stop-Start,Manual,M6,1968,Diesel,5.0,3.6,4.1,56.5,78.5,68.9,108,5,74.0,224,,139,171,0.2,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
AUDI,A1 Sportback,1.2 TFSI 86PS Stop-Start,Manual,M5,1197,Petrol,6.2,4.4,5.1,45.6,64.2,55.4,118,5,72.0,664,42,39,,,,"£1,368.72",C,£30.00,NA,£0.00,NA,,,
AUDI,A1 Sportback,1.4 TFSI 122PS Stop-Start,Manual,M6,1390,Petrol,6.9,4.6,5.4,40.9,61.4,52.3,126,5,72.0,328,38,31,,,,"£1,449.85",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A1 Sportback,1.4 TFSI 122PS Stop-Start 7speed S-Tronic,Automatic,D7,1390,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,122,5,71.0,411,42,34,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A1 Sportback,1.4 TFSI 185PS Stop-Start 7speed S-Tronic,Automatic,D7,1390,Petrol,7.5,5.1,5.9,37.7,55.4,47.9,139,5,72.0,229,43,35,,,,"£1,583.03",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A1 Sportback,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,5,71.0,310,,118,156,0.0,,"£1,079.29",A,£0.00,NA,£0.00,NA,,,
AUDI,A1 Sportback,2.0 TDI 143PS Stop-Start,Manual,M6,1968,Diesel,5.0,3.6,4.1,56.5,78.5,68.9,108,5,72.0,224,,139,171,0.0,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
AUDI,A3,1.2 TFSI 105PS 7speed S-Tronic Stop-Start,Automatic,D7,1197,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,123,5,70.0,465,25,21,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3,1.2 TFSI 105PS Stop-Start,Manual,M6,1197,Petrol,6.7,4.7,5.5,42.2,60.1,51.4,127,5,71.0,399,35,30,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3,1.4 TFSI 125PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,6.4,4.7,5.3,44.1,60.1,53.3,124,5,70.0,409,48,45,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3,1.4 TFSI 125PS Stop-Start,Manual,M6,1390,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,132,5,73.0,239,25,22,,,,"£1,528.78",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A3,1.6 TDI 105PS 7speed S-Tronic Stop Start ,Automatic,D7,1598,Diesel,4.5,3.9,4.2,62.8,72.4,67.3,109,5,69.0,113,,122,140,0.1,,"£1,191.55",B,£20.00,NA,£0.00,NA,,,
AUDI,A3,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,5.0,3.7,4.1,56.5,76.3,68.9,109,5,72.0,252,,158,183,0.0,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
AUDI,A3,1.8 TFSI 160PS,Manual,M6,1798,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,152,5,74.0,618,71,57,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A3,1.8 TFSI 160PS 7speed S-Tronic,Automatic,D7,1798,Petrol,8.5,5.2,6.5,33.2,54.3,43.5,149,5,73.0,459,49,38,,,,"£1,743.16",F,£135.00,£74.25,£135.00,£74.25,,,
AUDI,A3,2.0 TDI 140PS Stop-Start,Manual,M6,1968,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,115,5,75.0,276,,127,160,0.0,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
AUDI,A3,2.0 TDI 140PS S-Tronic ,Automatic,D6,1968,Diesel,5.8,4.4,4.9,48.7,64.2,57.6,129,5,73.0,151,,105,126,0.1,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3,2.0 TDI 170PS Stop-Start ,Manual,M6,1968,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,123,5,72.0,353,,120,166,0.0,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3,S3 2.0 TFSI 265PS quattro ,Manual,QM6,1984,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,198,5,75.0,270,33,26,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
AUDI,A3,S3 2.0 TFSI 265PS quattro S-Tronic,Automatic,QD6,1984,Petrol,11.1,6.7,8.3,25.4,42.2,34.0,193,5,72.0,263,41,34,,,,"£2,230.21",J,£250.00,£137.50,£460.00,NA,,,
AUDI,A3 Cabriolet,1.2 TFSI 105PS ,Manual,M6,1197,Petrol,7.0,5.0,5.7,40.4,56.5,49.6,132,5,71.0,433,34,30,,,,"£1,528.78",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A3 Cabriolet,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,5.2,3.9,4.3,54.3,72.4,65.7,114,5,72.0,245,,155,180,0.1,,"£1,220.57",C,£30.00,NA,£0.00,NA,,,
AUDI,A3 Cabriolet,1.8 TFSI 160PS,Manual,M6,1798,Petrol,8.9,5.5,6.7,31.7,51.4,42.2,156,5,74.0,618,71,57,,,,"£1,796.85",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A3 Cabriolet,1.8 TFSI 160PS 7speed S-Tronic,Automatic,D7,1798,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,154,5,73.0,571,62,50,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A3 Cabriolet,2.0 TDI 140PS Stop-Start,Manual,M6,1968,Diesel,5.7,3.9,4.6,49.6,72.4,61.4,119,5,75.0,235,,130,158,0.1,,"£1,306.05",C,£30.00,NA,£0.00,NA,,,
AUDI,A3 Cabriolet,2.0 TDI 140PS S-Tronic Stop-Start,Automatic,D6,1968,Diesel,6.0,4.6,5.1,47.1,61.4,55.4,134,5,73.0,199,,121,153,0.0,,"£1,447.50",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A3 Cabriolet,2.0 TFSI 200PS,Manual,M6,1984,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,169,5,73.0,587,60,48,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
AUDI,A3 Cabriolet,2.0 TFSI 200PS S-Tronic,Automatic,D6,1984,Petrol,9.9,5.9,7.4,28.5,47.9,38.2,171,5,71.0,311,49,38,,,,"£1,985.01",H,£195.00,£107.25,£275.00,NA,,,
AUDI,A3 Sportback,1.2 TFSI 105PS 7speed S-Tronic Stop-Start,Automatic,D7,1197,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,123,5,70.0,465,25,21,,,,"£1,422.65",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3 Sportback,1.2 TFSI 105PS Stop-Start,Manual,M6,1197,Petrol,6.7,4.7,5.5,42.2,60.1,51.4,127,5,71.0,399,35,30,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3 Sportback,1.4 TFSI 125PS Stop-Start,Manual,M6,1390,Petrol,7.3,4.9,5.8,38.7,57.6,48.7,134,5,73.0,187,25,23,,,,"£1,557.03",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A3 Sportback,1.4 TSI 125PS 7speed S-Tronic Stop-Start,Automatic,D7,1390,Petrol,6.6,4.8,5.5,42.8,58.9,51.4,127,5,70.0,409,48,45,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3 Sportback,1.6 102PS,Manual,M5,1595,Petrol,9.4,5.6,7.0,30.1,50.4,40.4,164,5,70.0,430,44,29,,,,"£1,876.91",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A3 Sportback,1.6 TDI 105PS 7speed S-Tronic Stop-Start,Automatic,D7,1598,Diesel,4.9,3.9,4.3,57.6,72.4,65.7,112,5,69.0,113,,122,140,0.1,,"£1,220.57",C,£30.00,NA,£0.00,NA,,,
AUDI,A3 Sportback,1.6 TDI 105PS Stop-Start,Manual,M5,1598,Diesel,5.0,3.7,4.1,56.5,76.3,68.9,109,5,72.0,252,,158,183,0.4,,"£1,163.88",B,£20.00,NA,£0.00,NA,,,
AUDI,A3 Sportback,1.8 TFSI 160PS,Manual,M6,1798,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,153,5,74.0,678,71,57,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A3 Sportback,1.8 TFSI 160PS 7speed S-Tronic,Automatic,D7,1798,Petrol,8.5,5.2,6.5,33.2,54.3,43.5,149,5,73.0,459,49,38,,,,"£1,743.16",F,£135.00,£74.25,£135.00,£74.25,,,
AUDI,A3 Sportback,2.0 TDI 140PS Stop-Start,Manual,M6,1968,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,115,5,75.0,276,,127,160,0.1,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
AUDI,A3 Sportback,2.0 TDI 140PS S-Tronic Stop-Start,Automatic,D6,1968,Diesel,5.8,4.4,4.9,48.7,64.2,57.6,129,5,73.0,151,,105,126,0.3,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3 Sportback,2.0 TDI 170PS quattro Stop-Start,Manual,QM6,1968,Diesel,6.1,4.6,5.2,46.3,61.4,54.3,135,5,73.0,241,,120,160,0.1,,"£1,476.82",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A3 Sportback,2.0 TDI 170PS Stop-Start,Manual,M6,1968,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,123,5,72.0,353,,120,166,0.6,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3 Sportback,2.0 TDI 170PS S-Tronic Stop-Start,Automatic,D6,1968,Diesel,5.6,4.6,5.0,50.4,61.4,56.5,130,5,69.0,179,,135,162,0.1,,"£1,419.32",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A3 Sportback,2.0 TFSI 200PS,Manual,M6,1984,Petrol,9.9,5.6,7.2,28.5,50.4,39.2,168,5,71.0,235,37,29,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
AUDI,A3 Sportback,2.0 TFSI 200PS quattro S-Tronic,Automatic,QD6,1984,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,176,5,71.0,327,44,36,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
AUDI,A3 Sportback,2.0 TFSI 200PS S-Tronic,Automatic,D6,1984,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,168,5,71.0,235,37,29,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
AUDI,A3 Sportback,RS3 2.5 TFSI quattro 340PS 7speed S-Tronic,Automatic,QD7,2480,Petrol,13.1,6.8,9.1,21.6,41.5,31.0,212,5,71.0,444,33,29,,,,"£2,446.04",K,£270.00,£148.50,£600.00,NA,,,
AUDI,A3 Sportback,S3 2.0 TFSI 265PS quattro ,Manual,QM6,1984,Petrol,11.8,6.7,8.5,23.9,42.2,33.2,199,5,75.0,229,36,28,,,,"£2,283.95",J,£250.00,£137.50,£460.00,NA,,,
AUDI,A3 Sportback,S3 2.0 TFSI 265PS quattro S-Tronic,Automatic,QD6,1984,Petrol,11.2,6.8,8.4,25.2,41.5,33.6,195,5,72.0,266,43,35,,,,"£2,256.76",J,£250.00,£137.50,£460.00,NA,,,
AUDI,A4 Allroad,2.0 TDI quattro 177PS 7speed S-Tronic Stop-Start,Automatic,QD7,1968,Diesel,7.0,5.4,6.0,40.4,52.3,47.1,156,5,71.0,124,,150,170,0.2,,"£1,702.58",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A4 Allroad,2.0 TDI quattro 177PS Stop-Start,Manual,QM6,1968,Diesel,6.9,5.3,5.8,40.9,53.3,48.7,153,5,73.0,135,,147,168,0.0,,"£1,646.64",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A4 Allroad,2.0 TFSI quattro 211PS 7speed S-Tronic Stop-Start,Automatic,QD7,1984,Petrol,9.0,6.3,7.3,31.4,44.8,38.7,170,5,72.0,547,54,46,,,,"£1,959.36",H,£195.00,£107.25,£275.00,NA,,,
AUDI,A4 Allroad,2.0 TFSI quattro 211PS Stop-Start,Manual,QM6,1984,Petrol,9.1,6.1,7.2,31.0,46.3,39.2,169,5,74.0,279,38,34,,,,"£1,934.37",H,£195.00,£107.25,£275.00,NA,,,
AUDI,A4 Allroad,3.0 V6 TDI quattro 245PS 7speed S-Tronic Stop-Start ,Automatic,QD7,2967,Diesel,7.2,5.5,6.2,39.2,51.4,45.6,161,5,70.0,389,,144,175,0.3,,"£1,758.58",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A4 Avant,1.8 TFSI 120PS Stop-Start,Manual,M6,1798,Petrol,8.6,5.5,6.6,32.8,51.4,42.8,154,5,73.0,385,45,39,,,,"£1,771.67",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A4 Avant,1.8 TFSI 170PS Multitronic Stop-Start,Automatic,AV,1798,Petrol,7.0,5.4,6.0,40.4,52.3,47.1,139,5,70.0,260,49,42,,,,"£1,609.92",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A4 Avant,1.8 TFSI 170PS Stop-Start,Manual,M6,1798,Petrol,7.7,5.2,6.1,36.7,54.3,46.3,141,5,71.0,399,50,42,,,,"£1,637.74",F,£135.00,£74.25,£135.00,£74.25,,,
AUDI,A4 Avant,2.0 TDI 143PS Multitronic Stop-Start,Automatic,AV,1968,Diesel,5.6,4.5,4.9,50.4,62.8,57.6,129,5,70.0,103,,142,158,0.0,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A4 Avant,2.0 TDI 143PS Stop-Start,Manual,M6,1968,Diesel,5.6,4.2,4.7,50.4,67.3,60.1,124,5,70.0,144,,138,156,0.2,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A4 Avant,2.0 TDI 177PS Multitronic Stop-Start,Automatic,AV,1968,Diesel,5.6,4.5,4.9,50.4,62.8,57.6,129,5,71.0,103,,142,158,0.0,,"£1,392.21",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A4 Avant,2.0 TDI 177PS Stop-Start,Manual,M6,1968,Diesel,5.7,4.3,4.8,49.6,65.7,58.9,126,5,71.0,185,,133,163,0.0,,"£1,361.48",D,£100.00,£55.00,£0.00,NA,,,
AUDI,A4 Avant,2.0 TDI e 136PS Stop-Start,Manual,M6,1968,Diesel,5.3,3.9,4.4,53.3,72.4,64.2,116,5,70.0,203,,147,171,0.0,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
AUDI,A4 Avant,2.0 TDI e 163PS Stop-Start,Manual,M6,1968,Diesel,5.4,4.0,4.5,52.3,70.6,62.8,120,5,71.0,144,,133,150,0.1,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
AUDI,A4 Avant,2.0 TDI quattro 177PS Stop-Start,Manual,QM6,1968,Diesel,6.3,4.7,5.3,44.8,60.1,53.3,139,5,71.0,207,,143,174,0.0,,"£1,504.53",E,£120.00,£66.00,£120.00,£66.00,,,
AUDI,A4 Avant,2.0 TFSI 211PS Multitronic Stop-Start,Automatic,AV,1984,Petrol,7.7,5.4,6.2,36.7,52.3,45.6,144,5,73.0,314,35,29,,,,"£1,662.88",F,£135.00,£74.25,£135.00,£74.25,,,
AUDI,A4 Avant,2.0 TFSI quattro 211PS 7speed S-Tronic Stop-Start,Automatic,QD7,1984,Petrol,8.7,6.0,7.1,32.5,47.1,39.8,163,5,74.0,505,52,45,,,,"£1,905.21",G,£170.00,£93.50,£170.00,£93.50,,,
AUDI,A4 Avant,2.0 TFSI quattro 211PS Stop-Start,Manual,QM6,1984,Petrol,9.0,5.8,7.0,31.4,48.7,40.4,162,5,74.0,412,48,42,,,,"£1,876.91",G,£170.00,£93.50,£170.00,£93.50,,,
