Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
ABARTH,500,500 and 500C,Manual,M5,1368,Petrol,8.5,5.4,6.5,33.2,52.3,43.5,155,5,74.0,222,35,36,,,,"£1,743.16",G,£170.00,£93.50,£170.00,£93.50,,,
ABARTH,500,500 and 500C ,Automatic,SAT5,1368,Petrol,8.4,5.4,6.5,33.6,52.3,43.5,151,5,73.0,445,25,22,,,,"£1,743.16",G,£170.00,£93.50,£170.00,£93.50,,,
ABARTH,500,595 and 595C,Automatic,SAT5,1368,Petrol,8.4,5.4,6.5,33.6,52.3,43.5,151,5,73.5,439,34,37,,,,"£1,743.16",G,£170.00,£93.50,£170.00,£93.50,,,
ABARTH,500,595 and 595C,Manual,M5,1368,Petrol,8.5,5.4,6.5,33.2,52.3,43.5,155,5,74.0,222,35,19,,,,"£1,743.16",G,£170.00,£93.50,£170.00,£93.50,,,
ABARTH,Punto Evo,1.4 16v Turbo MultiAir 165,Manual,M6,1368,Petrol,8.0,5.0,6.1,35.3,56.5,46.3,142,5,71.5,378,44,23,,,,"£1,637.74",F,£135.00,£74.25,£135.00,£74.25,,,
ABARTH,Punto Evo,Supersport,Manual,M6,1368,Petrol,8.0,5.0,6.1,35.3,56.5,46.3,142,5,74.0,322,38,35,,,,"£1,637.74",F,£135.00,£74.25,£135.00,£74.25,,,
ALFA ROMEO,Giulietta,1.4 TB 120 bhp,Manual,M6,1368,Petrol,8.4,5.3,6.4,33.6,53.3,44.1,149,5,73.0,356,30,26,,,,"£1,719.44",F,£135.00,£74.25,£135.00,£74.25,,,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp,Manual,M6,1368,Petrol,7.8,4.6,5.8,36.2,61.4,48.7,134,5,72.5,276,48,29,,,,"£1,557.03",E,£120.00,£66.00,£120.00,£66.00,,,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp Alfa TCT,Automatic,SAT6,1368,Petrol,6.7,4.3,5.2,42.2,65.7,54.3,121,5,70.5,440,37,30,,,,"£1,396.45",D,£100.00,£55.00,£0.00,NA,,,
ALFA ROMEO,Giulietta,1.6 JTDm-2 105 bhp,Manual,M6,1598,Diesel,5.5,3.7,4.4,51.4,76.3,64.2,114,5,74.0,215,,173,207,0.8,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
ALFA ROMEO,Giulietta,1750 TBi 235 bhp,Manual,M6,1742,Petrol,10.8,5.8,7.6,26.2,48.7,37.2,177,5,74.0,375,49,22,,,,"£2,038.37",I,£215.00,£118.25,£325.00,NA,,,
ALFA ROMEO,Giulietta,2.0 JTDm-2 140 bhp,Manual,M6,1956,Diesel,5.6,3.9,4.5,50.4,72.4,62.8,119,5,72.5,389,,161,216,0.5,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp ,Manual,M6,1956,Diesel,5.8,4.1,4.7,48.7,68.9,60.1,124,5,74.5,152,,158,201,0.8,,"£1,334.30",D,£100.00,£55.00,£0.00,NA,,,
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp Alfa TCT,Automatic,SAT6,1956,Diesel,5.3,4.0,4.5,53.3,70.6,62.8,119,5,72.5,182,,160,186,0.6,,"£1,276.93",C,£30.00,NA,£0.00,NA,,,
ALFA ROMEO,MiTo,0.9 TB TwinAir 85 bhp,Manual,M6,875,Petrol,4.9,3.8,4.2,57.6,74.3,67.3,98,5,74.0,528,49,37,,,,"£1,126.71",A,£0.00,NA,£0.00,NA,,,
ALFA ROMEO,MiTo,1.3 JTDm-2 85 bhp,Manual,M5,1248,Diesel,4.4,2.9,3.5,64.2,97.4,80.7,90,5,73.0,393,,167,194,0.5,,£993.70,A,£0.00,NA,£0.00,NA,,,
ALFA ROMEO,MiTo,1.4 8v 78 bhp,Manual,M5,1368,Petrol,7.3,4.6,5.6,38.7,61.4,50.4,130,5,73.0,337,48,37,,,,"£1,504.51",D,£100.00,£55.00,£0.00,NA,,,
ALFA ROMEO,MiTo,1.4 MultiAir 105 bhp,Manual,M6,1368,Petrol,7.5,4.7,5.7,37.7,60.1,49.6,134,5,72.5,192,49,40,,,,"£1,528.78",E,£120.00,£66.00,£120.00,£66.00,,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp,Manual,M5,1368,Petrol,7.3,4.4,5.5,38.7,64.2,51.4,128,5,71.5,519,52,32,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp Alfa TCT,Automatic,SAT6,1368,Petrol,7.1,4.5,5.5,39.8,62.8,51.4,126,5,72.5,255,21,24,,,,"£1,475.24",D,£100.00,£55.00,£0.00,NA,,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 170 bhp,Manual,M6,1368,Petrol,8.1,4.8,6.0,34.9,58.9,47.1,139,5,73.5,254,20,24,,,,"£1,609.92",E,£120.00,£66.00,£120.00,£66.00,,,
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp,Manual,M6,1598,Diesel,5.3,3.8,4.4,53.3,74.3,64.2,114,5,73.0,389,,155,216,0.3,,"£1,249.09",C,£30.00,NA,£0.00,NA,,,
ASTON MARTIN LAGONDA,Cygnet MY2011,Hatchback,Manual,6MT,1329,Petrol,5.8,4.5,5.0,48.7,62.8,56.5,116,5,69.5,296,34,20,,,,"£1,342.08",C,£30.00,NA,£0.00,NA,,,
ASTON MARTIN LAGONDA,Cygnet MY2011,Hatchback,Automatic,CVT,1329,Petrol,6.1,4.6,5.2,46.3,61.4,54.3,120,5,67.3,213,40,6,,,,"£1,396.45",C,£30.00,NA,£0.00,NA,,,
ASTON MARTIN LAGONDA,DB9 Model Year 2010,Coupé & Convertible March 2010 onwards,Automatic,A6,5935,Petrol,22.3,10.2,14.6,12.7,27.7,19.3,345,5,73.0,547,66,9,,,,"£3,928.87",M,£475.00,£261.25,"£1,030.00",NA,,,
